Rank,Name,Postion,G,GS,IP,BAFZ,RF9,ofAss,F12 A,F12 N,F12 %,F23 A,F23 N,F23 %,F34 A,F34 N,F34 %,H13 A,H13 N,H13 %,H24 A,H24 N,H24 %,D14 A,D14 N,D14 %,Range RAA,Arm RAA,Err RAA,Total RAA,/144,Team
1,김호령,CF,32,4,95.1,50.0,3.40,0,0,8,0.0,0,2,0.0,0,1,0.0,3,5,0.0,0,3,0.0,0,1,0.0,4.98,0.26,-0.85,4.39,18.60,KIA
2,박정우,CF,2,0,5.2,100.0,3.18,0,0,0,,0,1,0.0,0,0,,0,0,,0,0,,0,0,,1.11,0.43,0.01,1.54,73.96,KIA
3,최원준,RF,28,8,116.2,50.0,1.77,1,0,7,0.0,0,3,0.0,0,0,,3,4,,0,4,,0,2,,1.31,-0.34,0.42,1.38,5.24,KIA
4,최원준,CF,30,28,197.0,52.2,2.38,1,0,15,0.0,0,5,0.0,1,4,25.0,8,11,25.0,0,9,25.0,0,1,25.0,-0.02,0.78,-0.20,0.56,2.14,KIA
5,박정우,RF,1,1,7.0,,2.57,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.15,,0.03,0.19,8.92,KIA
6,박정우,LF,1,0,0.1,,0.00,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,0.00,0.00,0.02,KIA
7,소크라테스,RF,4,1,11.0,28.6,3.27,3,0,1,0.0,0,1,0.0,0,0,,1,2,,0,1,,1,1,,0.33,-0.25,-0.46,-0.38,-1.36,KIA
8,고종욱,LF,7,2,19.0,25.0,1.42,0,0,2,0.0,0,0,,0,0,,1,3,,0,1,,2,2,,-0.09,-0.34,0.02,-0.41,-2.69,KIA
9,이창진,LF,10,4,39.0,33.3,2.31,0,0,2,0.0,0,0,,0,0,,0,4,,0,0,,0,0,,-0.73,0.23,0.04,-0.46,-1.93,KIA
10,나성범,RF,1,1,7.0,0.0,1.29,0,0,0,,0,0,,0,0,,0,0,,0,0,,1,1,,-0.35,-0.22,0.02,-0.54,-8.72,KIA
11,이우성,RF,13,11,88.0,36.4,1.84,0,0,4,0.0,0,3,0.0,0,1,0.0,1,8,0.0,0,1,0.0,0,3,0.0,-0.13,-0.06,-0.68,-0.87,-3.15,KIA
12,이창진,RF,23,18,127.0,33.3,1.91,0,0,7,0.0,0,3,0.0,0,1,0.0,1,17,0.0,0,1,0.0,2,4,0.0,-0.44,-0.91,0.45,-0.89,-3.78,KIA
13,소크라테스,CF,8,8,58.2,28.6,2.45,3,0,1,0.0,1,1,100.0,0,0,,0,3,,0,0,,1,1,,-1.49,0.11,0.09,-1.28,-4.62,KIA
14,최형우,LF,5,5,38.1,33.3,1.41,0,0,1,0.0,0,1,0.0,0,0,,0,3,,0,0,,0,1,,-2.09,0.27,0.04,-1.79,-6.59,KIA
15,소크라테스,LF,37,29,260.0,32.6,1.70,3,0,11,0.0,0,3,0.0,1,1,100.0,5,21,100.0,0,5,100.0,0,5,100.0,-5.96,0.53,0.25,-5.18,-18.66,KIA
