,Name,Team,Position,Total RAA,G,GS,IP,BAFZ,RF9,ofAss,F12 A,F12 N,F12 %,F23 A,F23 N,F23 %,F34 A,F34 N,F34 %,H13 A,H13 N,H13 %,H24 A,H24 N,H24 %,D14 A,D14 N,D14 %,Range RAA,Arm RAA,Err RAA,/144
0,최지훈,SSG,CF,4.71,42,41,358.0,46.6,2.51,1,0,22,0.0,0,6,0.0,0,6,0.0,7,21,0.0,0,13,0.0,1,1,0.0,4.6,1.06,-0.95,16.14
1,하재훈,SSG,LF,0.49,11,8,88.0,16.7,2.15,3,0,1,0.0,0,1,0.0,0,0,,1,5,,0,2,,1,2,,0.59,0.32,-0.41,1.85
2,강진성,SSG,LF,0.31,1,0,3.0,,3.0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.31,,0.0,7.54
3,김창평,SSG,RF,0.26,1,1,4.0,,6.75,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.25,,0.01,6.24
4,하재훈,SSG,CF,0.17,1,0,1.0,,9.0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.17,,0.0,0.65
5,추신수,SSG,RF,-0.07,5,5,34.0,40.0,1.59,0,0,2,0.0,0,0,,0,2,0.0,1,4,0.0,0,2,0.0,0,0,0.0,-0.3,0.11,0.12,-0.5
6,오태곤,SSG,CF,-0.25,3,1,10.0,,2.7,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.26,,0.02,-0.98
7,오태곤,SSG,RF,-0.4,5,1,22.0,87.5,4.09,1,0,3,0.0,0,1,0.0,1,3,33.3,0,0,33.3,0,0,33.3,0,0,33.3,-0.25,0.27,-0.42,-1.61
8,오태곤,SSG,LF,-0.49,2,1,9.0,,0.0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.6,0.1,0.01,-1.98
9,에레디아,SSG,LF,-1.12,32,31,259.0,21.4,1.67,3,0,9,0.0,0,1,0.0,1,2,50.0,7,26,50.0,0,8,50.0,4,9,50.0,-1.06,0.19,-0.25,-4.14
10,한유섬,SSG,LF,-1.88,2,2,10.0,0.0,0.9,0,0,0,,0,0,,0,0,,0,2,,0,0,,0,1,,-1.37,-0.02,-0.49,-7.73
11,한유섬,SSG,RF,-3.82,22,22,185.0,35.1,2.24,0,0,9,0.0,0,2,0.0,0,2,0.0,4,14,0.0,0,5,0.0,1,5,0.0,-4.52,0.04,0.66,-15.71
12,하재훈,SSG,RF,-6.74,19,13,124.0,14.8,1.38,3,0,1,0.0,0,2,0.0,0,1,0.0,3,13,0.0,0,4,0.0,2,4,0.0,-6.15,-0.05,-0.55,-25.54
